-356, -708, -17460, 87, -55, 20
-406, -71, -17060, 107, -58, 22
-609, 48, -16505, 41, -20, 33
-547, 179, -16729, -97, -47, 23
-356, -401, -16981, -119, -93, 25
-402, -581, -17586, -68, -45, 27
-334, -790, -17575, 72, -1, 30
-440, -158, -17141, 116, -41, 20
-583, 67, -16553, 79, -50, 34
-597, 195, -16618, -85, -59, 23
-387, -285, -16911, -125, -85, 22
-455, -650, -17484, -85, -70, 21
-269, -789, -17697, 72, -28, 24
-393, -245, -17144, 124, -32, 21
-548, 168, -16660, 93, -42, 44
-651, 170, -16479, -71, -64, 15
-399, -195, -16889, -123, -68, 33
-455, -621, -17401, -112, -90, 34
-255, -796, -17796, 65, -8, 25
-380, -357, -17152, 126, -27, 15
-498, 227, -16682, 126, -76, 20
-645, 203, -16411, -72, -34, 31
-386, -67, -16943, -136, -50, 36
-460, -638, -17357, -132, -80, 29
-241, -746, -17853, 40, -1, 40
-415, -522, -17222, 109, -7, 26
-450, 184, -16825, 134, -56, 33
-688, 127, -16312, -34, -59, 23
-429, 63, -16896, -113, -58, 30
-445, -581, -17180, -142, -86, 27
-257, -669, -17887, 6, -19, 33
-384, -722, -17273, 108, -32, 25
